Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,Casp,casp_,complete_model_name,group_name,casp_newname,new_name,lddt,Categories,lddt_rank
TS232,3,5.949,6,7.258,5,0.82,2,0.866,4,-1.0,1,0.811,2,12.66,73,18.006,3,0.487,4,0.0,1,0.0,0,CR1107,R1107,R1107TS232_3,Others,R1107_TS232_3,R1107_TS232_3,0.7278166999881063,Human,1
TS128,3,5.982,7,7.899,6,0.757,12,0.854,7,-1.0,1,0.729,31,27.55,80,22.576,31,0.397,11,0.0,1,0.0,0,CR1107,R1107,R1107TS128_3,Others,R1107_TS128_3,R1107_TS128_3,0.6873212394442777,Human,6
TS287,2,6.483,8,8.211,8,0.79,7,0.854,7,-1.0,1,0.766,7,0.45,8,23.051,43,0.419,8,0.0,1,0.0,0,CR1107,R1107,R1107TS287_2,Others,R1107_TS287_2,R1107_TS287_2,0.6722472998306553,Human,9
TS416,5,6.516,9,8.642,11,0.754,13,0.811,12,-1.0,1,0.741,22,16.28,74,24.836,85,0.464,6,0.0,1,0.0,0,CR1107,R1107,R1107TS416_5,Others,R1107_TS416_5,R1107_TS416_5,0.5961257454846146,Human,11
TS287,4,6.555,10,8.357,9,0.784,9,0.836,10,-1.0,1,0.766,7,0.9,16,22.717,36,0.404,10,0.0,1,0.0,0,CR1107,R1107,R1107TS287_4,Others,R1107_TS287_4,R1107_TS287_4,0.6764214473020962,Human,8
TS287,1,6.691,11,8.474,10,0.79,7,0.854,7,-1.0,1,0.766,7,2.26,32,23.063,44,0.41,9,0.0,1,0.0,0,CR1107,R1107,R1107TS287_1,Others,R1107_TS287_1,R1107_TS287_1,0.6800660387510407,Human,7
TS416,3,7.741,12,10.729,12,0.722,20,0.836,10,-1.0,1,0.679,54,4.52,47,28.469,147,0.39,13,0.0,1,0.0,0,CR1107,R1107,R1107TS416_3,Others,R1107_TS416_3,R1107_TS416_3,0.5801880915027497,Human,13
TS416,2,7.803,13,10.939,13,0.713,25,0.905,1,-1.0,1,0.641,64,9.5,62,28.868,151,0.392,12,0.0,1,0.0,0,CR1107,R1107,R1107TS416_2,Others,R1107_TS416_2,R1107_TS416_2,0.5761073950941024,Human,14
TS081,4,8.804,14,13.374,14,0.658,33,0.648,27,-1.0,1,0.673,57,0.0,1,34.645,174,0.324,20,0.0,1,1.11e-16,0,CR1107,R1107,R1107TS081_4,Others,R1107_TS081_4,R1107_TS081_4,0.4810237705521542,Human,30
TS416,4,10.167,15,15.619,15,0.651,36,0.64,30,-1.0,1,0.655,61,29.0,81,30.034,162,0.241,57,0.0,1,3.941e-14,0,CR1107,R1107,R1107TS416_4,Others,R1107_TS416_4,R1107_TS416_4,0.443412549628178,Human,32
TS081,3,13.111,16,17.902,16,0.732,17,0.669,26,-1.0,1,0.763,10,0.9,16,22.326,23,0.323,21,0.0,1,2.667e-09,0,CR1107,R1107,R1107TS081_3,Others,R1107_TS081_3,R1107_TS081_3,0.5264537303965157,Human,20
TS081,1,14.097,17,19.666,18,0.717,23,0.693,25,-1.0,1,0.733,26,0.0,1,24.404,71,0.333,17,0.0,1,6.165e-08,0,CR1107,R1107,R1107TS081_1,Others,R1107_TS081_1,R1107_TS081_1,0.5276232846066277,Human,19
TS081,2,14.112,18,19.516,17,0.723,19,0.719,23,-1.0,1,0.733,26,0.0,1,24.175,66,0.33,18,0.0,1,6.433e-08,0,CR1107,R1107,R1107TS081_2,Others,R1107_TS081_2,R1107_TS081_2,0.5261308994523202,Human,21
TS128,5,14.742,19,21.736,21,0.678,29,0.8,13,-1.0,1,0.635,65,97.84,85,26.932,117,0.24,59,0.0,1,4.106e-07,0,CR1107,R1107,R1107TS128_5,Others,R1107_TS128_5,R1107_TS128_5,0.4948545278455848,Human,25
TS287,5,15.871,20,22.377,22,0.709,26,0.648,27,-1.0,1,0.736,25,0.9,16,23.611,52,0.34,16,0.0,1,8.406e-06,0,CR1107,R1107,R1107TS287_5,Others,R1107_TS287_5,R1107_TS287_5,0.5369910456890742,Human,16
TS128,1,16.05,21,21.047,20,0.763,11,0.8,13,-1.0,1,0.758,11,44.26,84,22.527,29,0.341,15,0.0,1,1.312e-05,0,CR1107,R1107,R1107TS128_1,Others,R1107_TS128_1,R1107_TS128_1,0.5936209738167113,Human,12
TS287,3,16.512,22,22.947,24,0.72,21,0.648,27,-1.0,1,0.75,15,1.81,26,23.727,54,0.329,19,0.0,1,3.956e-05,0,CR1107,R1107,R1107TS287_3,Others,R1107_TS287_3,R1107_TS287_3,0.5335206130389719,Human,17
TS392,1,16.625,23,20.979,19,0.792,6,0.743,18,-1.0,1,0.81,3,19.92,77,26.173,106,0.287,29,0.0,1,5.129e-05,0,CR1107,R1107,R1107TS392_1,Others,R1107_TS392_1,R1107_TS392_1,0.5393740477903072,Human,15
TS029,2,17.007,24,29.959,36,0.568,54,0.711,24,-1.0,1,0.527,78,0.0,1,30.857,165,0.28,34,0.0,1,0.0001203,0,CR1107,R1107,R1107TS029_2,Others,R1107_TS029_2,R1107_TS029_2,0.4464242225154761,Human,31
TS029,1,17.04,25,31.906,39,0.534,66,0.583,31,-1.0,1,0.529,77,0.0,1,31.135,166,0.276,36,0.0,1,0.0001291,0,CR1107,R1107,R1107TS029_1,Others,R1107_TS029_1,R1107_TS029_1,0.4246147267547561,Human,34
TS097,1,17.327,26,35.868,44,0.483,73,0.476,37,-1.0,1,0.486,83,0.45,8,42.461,180,0.209,75,0.0,1,0.0002374,0,CR1107,R1107,R1107TS097_1,Others,R1107_TS097_1,R1107_TS097_1,0.337440460345599,Human,61
TS128,2,17.573,27,22.861,23,0.769,10,0.8,13,-1.0,1,0.758,11,110.51,86,24.535,75,0.289,28,0.0,1,0.0003927,0,CR1107,R1107,R1107TS128_2,Others,R1107_TS128_2,R1107_TS128_2,0.5317464587710902,Human,18
TS392,4,17.838,28,24.053,26,0.742,15,0.722,22,-1.0,1,0.751,14,4.07,42,24.771,82,0.232,64,0.0,1,0.0006628,0,CR1107,R1107,R1107TS392_4,Others,R1107_TS392_4,R1107_TS392_4,0.5030994602493161,Human,24
TS439,2,17.897,29,29.446,33,0.608,40,0.224,58,-1.0,1,0.719,36,29.4,82,28.096,131,0.296,26,0.0,1,0.0007426,0,CR1107,R1107,R1107TS439_2,Others,R1107_TS439_2,R1107_TS439_2,0.4067684056115947,Human,40
TS439,5,17.897,29,29.446,33,0.608,40,0.224,58,-1.0,1,0.719,36,29.4,82,28.096,131,0.296,26,0.0,1,0.0007426,0,CR1107,R1107,R1107TS439_5,Others,R1107_TS439_5,R1107_TS439_5,0.4067684056115947,Human,40
