Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,complete_name,complete_model,Lddt_score,Lddt_rank,Groups_new
Chen,5,4.989,1,5.852,1,0.853,3,0.953,17,-1.0,16,0.821,1,0.55,6,24.294,22,0.339,14,0.0,1,0.0,0,PZ11,PZ11_Chen_5,PZ11_Chen_5,0.5593570870244919,16,Chen
Chen,2,5.193,2,6.226,2,0.834,4,0.977,9,-1.0,16,0.768,11,2.74,16,25.423,34,0.314,32,0.0,1,0.0,1,PZ11,PZ11_Chen_2,PZ11_Chen_2,0.5747619193905137,14,Chen
Chen,4,5.255,3,6.333,3,0.83,6,0.977,9,-1.0,16,0.772,10,0.55,6,28.152,49,0.343,11,0.0,1,0.0,0,PZ11,PZ11_Chen_4,PZ11_Chen_4,0.5583933393339334,17,Chen
Bujnicki,3,5.582,4,6.875,4,0.812,13,0.978,4,0.707,2,0.734,27,0.0,1,25.333,32,0.326,21,0.0,1,0.0,1,PZ11,PZ11_Bujnicki_3,PZ11_Bujnicki_3,0.5850147456377488,11,Bujnicki
Adamiak,7,5.724,5,7.026,5,0.815,11,1.0,1,-1.0,16,0.72,33,7.14,21,25.974,39,0.314,32,0.0,1,0.0,1,PZ11,PZ11_Adamiak_7,PZ11_Adamiak_7,0.6152033669206193,2,Szachniuk
Szachniuk,3,2.217,5,2.687,4,0.825,4,0.913,2,0.408,4,0.85,3,9.14,20,16.59,30,0.283,9,0.0,1,2.579e-08,0,PZ16a,PZ16a_Szachniuk_3,PZ16a_Szachniuk_3,0.7516673441428421,10,Szachniuk
Szachniuk,5,2.209,4,3.251,9,0.679,20,0.913,2,-1.0,15,0.66,20,13.71,26,15.005,15,0.305,5,0.0,1,2.516e-08,0,PZ16a,PZ16a_Szachniuk_5,PZ16a_Szachniuk_5,0.7581297141050539,7,Szachniuk
Szachniuk,10,2.041,3,2.65,3,0.77,7,0.913,2,0.408,4,0.776,6,11.43,24,19.081,56,0.326,3,0.0,1,1.482e-08,0,PZ16a,PZ16a_Szachniuk_10,PZ16a_Szachniuk_10,0.7783824879936166,6,Szachniuk
Szachniuk,8,1.881,2,2.442,2,0.77,7,0.913,2,0.408,4,0.776,6,17.14,28,17.429,41,0.303,6,0.0,1,8.874e-09,0,PZ16a,PZ16a_Szachniuk_8,PZ16a_Szachniuk_8,0.7574861117384039,8,Szachniuk
Chen,1,1.45,1,1.495,1,0.97,1,1.0,1,0.816,1,0.98,1,0.0,1,16.667,32,0.439,1,0.0,1,2.156e-09,0,PZ16a,PZ16a_Chen_1,PZ16a_Chen_1,0.8041566927118619,1,Chen
